IncidentDetailSummary,Source,Subject
Presenta fallas el correo del usuario Diana Erika Laguna,Teléfono,Presenta fallas el correo del usuario  Diana Erika Laguna
"no se pueden conectar a la vpn

Laura Gabriela Lazaro Montesinos

Guadalupe Ivette Pineda

Jose Edgar Gonzalez Nieto",Teléfono,conectar a la vpn a los siguientes usuarios
Reporta falla para visualizar video de curso de ICADEFIS,Teléfono,Reporta falla para visualizar video de curso de ICADEFIS
"Se reporta intermitencia en el sistema livelink, por lo que se solicita de su gentil apoyo para llevar a cabo dicha solución.",Correo-e,intermitencia en lvelnik
"Se reporta intermitencia en el sistema livelink, por lo que se solicita de su gentil apoyo para llevar a cabo dicha solución.",Correo-e,intermitencia en lvelnik
"Reporta que no se puede conectar a la vpn, el usuario se encuentra en el hospital de medicina genómica de la CDMX",Teléfono,Reporta que no se puede conectar a la vpn
Problemas para conectarse a GlobalProtect Número de inventario 54899.,Ventanilla,Problemas para conectarse a GlobalProtect
Maria Luis Diaz Ramon no se puede conectar al global protect,Teléfono,Maria Luis Diaz Ramon no se puede conectar al global protect
no hay livelink,Teléfono,no hay livelink
el usuario jesus Amadeo no se puede conectar al global protect,Teléfono,el usuario jesus Amadeo no se puede conectar al global protect
Eder Josimar Bermudez no se puede conectar al global protect,Teléfono,Eder Josimar Bermudez no se puede conectar al global protect
no se puede conectar al teams,Teléfono,no se puede conectar al teams
"Reporta que no se puede conectar a la vpn, la usuaria se encuentra en CENEGAS",Teléfono,Reporta que no se puede conectar a la vpn
no se puede conectar al global protect,Teléfono,no se puede conectar al global protect
"Reporta que no se puede conectar a la vpn, la usuaria se encuenta en campo (FONATUR)",Teléfono,Reporta que no se puede conectar a la vpn
no se puede conectar al global protect,Teléfono,no se puede conectar al global protect
Reporta falla para conectar su equipo a GlobalProtect,Teléfono,Reporta falla para conectar su equipo a GlobalProtect
"manda error en transfer al querer enviar la informacion auditoria 275

telefono 5553286900

contacto pedro fernandez

pedro.fernandez@bienestar.gob.mx",Teléfono,manda error en transfer al querer enviar la informacion auditoria 275
"Reportado por: Misael Edgar Zepeda Díaz.

Solicitando que se revise equipo con número de inventario: 57527.

Ya que no logra conectarse a YouTube, copilot etc. por el hibrido.",Correo-e,Revisión de equipo ya que no logra conecta algunos sitio de forma remota.
"La entidad Secretaría de Bienestar solicta el apoyo, para que el usuariopedro.fernandez@bienestar.gob.mx pudiera visualizar la información de la auditoria 275 en el transfer.",Teléfono,El usuario no podía visualizar su información de auditoria en transfer
"la nueva liga (http://archivos:2133/SIA/solicitudes.aspx ) si es más rápida en los procesos, sin embargo, aun no se atiende el problema.

- Al realizar ejercicios en los procesos de préstamo, consulta, ingreso y conclusión de resguardo al momento de seleccionar enviar autorización aceptar aparecen errores en los tres roles ( Usuario, RAT y Encargado del Archivo). Como se muestra en las imágenes:",Correo-e,fallas en SAGD
"Se solicita apoyo con la revisión del equipo de cómputo portátil con número de Inv. 57336 del usuario ""Rodolfo Sánchez Valerio"" , ya que el usuario reporta que tiene problemas para visualizar y eliminar archivos y/o carpetas en su disco virtual.",Correo-e,Problemas para visualizar y eliminar archivos del disco virtual en equipo 57336.
"problermas para enviar informacion por transfer

auuditoria 1407

gobierno del estado de nayarit

Alberto Solis

telefono 311 253 1522

correo carlosalfonsoaq@gmail.com",Teléfono,problermas para enviar informacion por transfer
"Problemas para utilizar la tecla 0, y problemas para con Outlook",Teléfono,"Problemas para utilizar la tecla 0, y problemas para con outlook"
Reporta falla al navegar en Internet,Teléfono,Reporta falla al navegar en Internet
El usuario reporta que no acepta su contraseña,Teléfono,El usuario reporta que no acepta su contraseña
no se puede conectar al global protect,Correo-e,no se puede conectar al global protect
Reporta fallas con el equipo de Paloma Asuani Cruz Bazán no prende,Teléfono,Reporta fallas con el equipo de Paloma Asuani Cruz Bazán no  prende
"me permito requerir su apoyo, a efecto de revisar el apartado de SICSA- Seguimiento de Acciones  DTNSI, toda vez que, es imposible realizar la consulta/asignación de números de EPRA para los expedientes.",Correo-e,Falla en SICSA
"Falla en equipo de computo con número de Inv. 57691 del usuario ""Gustavo Javier Ríos Cuevas"", ya que no enciende.",Correo-e,Falla en equipo de computo no enciende.
Las usuarias refieren: Solicito tu apoyo para informar a Sistemas que tengo problemas al ejecutar el Transfer del Buzón Digital ya que me sale un aviso de Usuario no válido. Ya corroboré mis archivos y contraseñas y son correctas,Correo-e,marca usuario no valido al ingresar en  transfer
"Solicitamos de su ayuda, ya que en el Sistema de Asuntos Jurídicos nos aparece el siguiente mensaje y no nos deja ingresar.

http://saj:2013/AdminOficios.aspx",Teléfono,Error en SAJ
"Se solicita apoyo con la revisión del software Adobe Acrobat Pro en el equipo de cómputo portátil con número de Inv. 51556 del usuario ""Emiliano Daniel López Cruz"" , dado que el usuario reporta que no puede hacer uso de las herramientas para edición, creación y modificación de archivos PDF debido a que se le arroja un mensaje referente a que inicie la prueba gratuita de Adobe Pro, pero el usuario comenta que si contaba con licencia de dicho software.",Ventanilla,Revisión equipo 51556 por problemas con el software Adobe Acrobat.
falla de ruta en sistema de reclutamiento y seleccion http://reclutamientoyseleccion:2146/inicio.aspx,Correo-e,falla de ruta en sistema de reclutamiento y seleccion
el RFC no es valido en buzon digital,Teléfono,el RFC no es valido en buzon digital
"Me comunico respecto de una factura que el sistema no me permite subir debido a que no detecta que ésta esté registrada ante el SAT, sin embargo, verifiqué en la página del mismo SAT la factura y sí me aparece registrada. Me comentaron que pidiera su apoyo para poder subir la factura y comprobar los viáticos.",Correo-e,Falla en sistema de viáticos
"se solicita de su apoyo para la revisión del equipo de inventario 58515 debido a que sufrió derrame de líquido. De igual manera se solicita de su apoyo para que se proporcione un inventario de cómputo en carácter de préstamo y que le sea cargado en el inventario de la usuaria con el número de empleada HON4375, en tanto se Dictamina el estado del equipo que se solicita sea revisado",Correo-e,"revisión de inventario 58515, derrame de líquido"
falla de ruta en sistema de reclutamiento y seleccion http://reclutamientoyseleccion:2146/SegET.aspx,Correo-e,falla de ruta en sistema de reclutamiento y seleccion  http://reclutamientoyseleccion:2146/SegET.aspx
"Favor de ver error que marca al querer imprimir las propuesta y fichas básicas de las auditorías 103, 199, 260 y 429 y no permitir su impresión.}",Correo-e,solicitud de soporte técnico de corrección de error al no querer imprimir fichas básicas
Por este medio reenvió mensaje que me aparece al generar los reportes o mandar impresiones.,Correo-e,falla en sicsa al generar los reportes o mandar impresiones.
"no muestra el menu del lado izquierdo en livelink

Hector flores artinez es quien tiene el problema",Teléfono,no muestra el menu del lado izquierdo en livelink
no hay livelink,Correo-e,no hay livelink
no se puede consultar la información soporte de los archivos con extensión .zip que se cargaron en el expediente digital:,Correo-e,No se puede abrir archivos .zip en el Expediente Digital
"Solicitamos de su ayuda, ya que en el Sistema de Asuntos Jurídicos nos aparece el siguiente mensaje y no nos deja ingresar.",Correo-e,error en el SAJ
falla en el SCD,Correo-e,falla en el sCD
"Solicito su apoyo para verificar el problema de la red del siguiente personal:

NOMBRE

NÚMERO DE EMPLEADO

MARCA DE EQUIPO DE COMPUTO

Lic. Mayra Meneses González

HON3846

HP

L.A. Jessica Soriano Isidro

HON2250

DELL

Ing. Javier Rivero Roldan

HON4962

DELL

Lic. Alan Alejandro Cabañas Bautista

HON5258

DELL

Lo anterior, toda vez que se desconoce la causa del por que al momento de querer imprimir el Dictamen Tecnico generado en el SISTEMA DE CONTROL Y SEGUIMIENTO DE AUDITORÍAS (SICSA), se genera directamente la siguiente leyenda:",Correo-e,Solicito su apoyo para poder imprimir DT en el SICSA
"Se solicita la revisión del equipo de cómputo portátil con número de Inv. 57691 del usuario ""Gustavo Javier Ríos Cuevas"", lo anterior, debido a que no enciende el equipo.",Teléfono,Revisión de equipo de cómputo con Inv. 57691.
se solicita de su apoyo para que por favor se revise el correo dgr@asf.gob.mx; ya que no están llegando los correo que envía el Tribunal Federal de Justicia Administrativa.,Correo-e,no estan llegando los correos
"Buenas tardes, desde hace ya un buen rato estoy tratando de entrar al SCD, pero marca error ¿qué pasa con el sistema?",Correo-e,problemas con el SCD
"Solicito tu apoyo para verificar el servidor de base datos VP0413 instancia PRODINT2014 puerto 4676

Las aplicaciones que tienen problemas son las siguientes:

- SCD
- Minutario
- Inventario DGRH
- SIRA
- Consultorio Médico
- Curricula
- Reclutamiento y selección
- SICOPRESP",Correo-e,Problema con bases de datos en SQL Server reportado por la DGRH
"Se solicita el cambio de carcasa del equipo 56956, ya que se encuentra dañada de la parte inferior izquierda.",Ventanilla,Carcasa Rota
"Agradeceré nos apoyen con el reporte siguiente:

Ubicación: Edificio B piso 3

Detalle de la solicitud: Se requiere revisión del modem, ya que en todo el piso no tiene acceso a red así como a las impresoras.",Correo-e,fallas en el servicio de internet
"Por medio del presente, me permito solicitar su valioso apoyo para revisar la página http://scd:2020/SCD/Index (Sistema de Control de Documentos), ya que presenta fallas lo cual impide el acceso",Correo-e,Problemas en SCD dentro de la intranet.
Se solicita su apoyo ya que no tenemos red en el Edificio B1.,Correo-e,no hay red en el edificio B1
"Se solicita la revisión del Adaptador de corriente del equipo DELL LATITUDE E5530 con numero de inventario 57881, debido a que no funciona.",Ventanilla,Revisión de Adaptador de corriente Equipo 57881
"ESTÁ FALLANDO EL SISTEMA LIVELINK Y NO PUEDO ENTRAR, EN LA MAÑANA ESTABA TRABAJANDO BIEN, PERO YA NO ME DEJA ENTRAR. LES PIDO AYUDA PORQUE POR MEDIO DEL SISTEMA RECIBO CORRESPONDENCIA QUE TURNO A LOS AUDITORES QUE ESTÁN EN CAMPO",Correo-e,fallas en livelink
falla en el SCD,Correo-e,falla en el SCD
"Solicitamos por este medio su gentil intervención y apoyo para reestablecer el sistema Live Link, a fin de brindar el mejor servicio posible a los usuarios y no retrasarnos en las entregas.",Correo-e,no hay livelink
Presenta fallas con su telefono cisco no se escucha,Teléfono,Presenta fallas con su telefono cisco no se escucha
Reporta falla en señal de video en monitores de su equipo de escritorio.,Ventanilla,Reporta falla en señal de video en monitores de su equipo de escritorio
"Solicitamos por este medio su gentil intervención y apoyo para reestablecer el sistema Live Link, a fin de brindar el mejor servicio posible a los usuarios y no retrasarnos en las entregas.",Correo-e,no hay livelink
hector flores hernandez reporta que no hay livelink,Correo-e,no hay livelink
equipo fuera de dominio,Correo-e,equipo fuera de dominio
"Se solicita apoyo con la revisión del software Adobe Acrobat Pro en el equipo de cómputo portátil con número de Inv. 56572 del usuario ""Pedro Zayas Carrillo"" , dado que el usuario reporta que no puede hacer uso del mismo para poder modificar, editar y crear documentos PDF porque se le arroja un mensaje donde se le informa que necesita aprobación de un administrador para hacer uso del software y las herramientas del mismo.",Correo-e,Revisión de equipo 56572 por problemas en el software Adobe Acrobat Pro.
Problema para elegir la etapa para la auditoría 373 - SICSA Informe,Correo-e,Problema para elegir la etapa para la auditoría 373 - SICSA Informe
Revisar correo del lic. Dorantes no le aparece ningun correo.,Teléfono,Revisar correo del lic. Dorantes no le aparece ningun correo.
"El usuario refiere que no puede visualizar las auditorías asignadas en SICSA, aún cuando previamente se solicitó y atendió la actualización en SICSA de su centro de costos.

Rene Mendoza Arvizu

Cemtro de Costos 34200",Correo-e,no visualiza las auditorias en SICSA Rene Mendoza Arvizu
"Reporta falla al navegar en pagina de INE, no visualiza el CAPCHA",Teléfono,Reporta falla al navegar en pagina de INE
"no puede firmar en evento multifirma no con la firma electronica del SAT ni de la ASF

Nancy Soledad Mendoza Mendoza

auditoria 481 Participaciones Federales a Entidades Federativas del Estado de Baja California

manda error de",Teléfono,no puede firmar en evento multifirma
donde se reporte que al ingresar al Sistema de Archivo de Trámite no se muestra del lado izquierdo el catálogo de Clasificación Documental en Producción,Correo-e,no se muestra ecatálogo de Clasificación Documental en Producciónl
"Por este medio solicito apoyo para gestionar con el área de sistemas la revisión de mis permisos en el navegador, toda vez que no puedo abrir la página de la CNBV en algunos vínculos, ya que me indica un tipo de error de privacidad; sin embargo, me resulta necesaria la navegación en la página web del ente auditado con motivo de la fiscalización de la Cuenta Pública 2023.

Adjunto impresión de pantalla de los mensajes que me aparecen.",Correo-e,Errores en la navegación en la página web de la CNBV
"revisando las Órdenes de Auditoría que firmará mi jefe, hemos detectado que se nos habilita la posibilidad de firmar, siendo que estamos con el rol de Colaboradores del AE.

Recordemos que las Órdenes de Auditoría sólo las debe poder firmar el Auditor Superior, un Auditor Especial o los DG (este último en el caso de ausencia), pero en ningún caso los colaboradores o ningún otro rol.",Correo-e,habilita la firma a los colaboradores en la orden de auditoria
"Solicitamos por este medio su gentil intervención y apoyo para reestablecer el sistema livelink, a fin de brindar el mejor servicio posible a los usuarios y no retrasarnos en las entregas.",Correo-e,no hay livelink
"Solicito su apoyo para la revisión del equipo con inventario 58448, debido a que el equipo no le da acceso el VPN, el equipo lo ocupa el Lic. Alan Arce Reza (HON5191).",Correo-e,no se puede conectar al global protect
No puede visualizar video en reproductor de windows para un equipo del auditorio.,Teléfono,No puede visualizar video en reproductor de windows
Reporta que no abre Microsoft Teams,Teléfono,Reporta que no abre Microsoft Teams
"Solicito atentamente su apoyo para eliminar dos archivos del expediente electrónico cargado en SICSA correspondiente a la auditoría número 1769, con título Fondo de Aportaciones para el Fortalecimiento de los Municipios y de las Demarcaciones Territoriales de Distrito Federal, de la Cuenta Pública 2022.",Correo-e,Eliminación de archivos en exp electrónico SICSA
